P. Name,P. Zone Class,P. Composition Class,P. Mass (EU),P. Radius (EU),P. Gravity (EU),P. Ts Mean (K),P. Period (days),P. Mean Distance (AU),S. Constellation,P. Habitable,P. Disc. Year
KOI-94.04,Hot,rocky-iron,3.92,1.55,1.63,1430.5,3.74,0.05,Cyg,0,2015
KOI-104.01,Hot,rocky-iron,26.43,2.49,4.26,877.9,2.51,0.03,Lyr,0,2015
KOI-112.02,Hot,rocky-iron,1.79,1.24,1.16,1272.0,3.71,0.05,Cyg,0,2015
KOI-115.02,Hot,rocky-iron,8.07,1.88,2.28,1234.5,7.13,0.07,Lyr,0,2015
KOI-116.01,Hot,rocky-iron,20.29,2.35,3.67,844.4,13.57,0.11,Cyg,0,2015
KOI-116.03,Hot,rocky-iron,0.51,0.85,0.71,1065.2,6.16,0.06,Cyg,0,2015
KOI-116.04,Hot,rocky-iron,0.84,0.99,0.86,690.9,23.98,0.16,Cyg,0,2015
KOI-117.02,Hot,rocky-iron,7.43,1.84,2.20,1306.0,4.90,0.06,Cyg,0,2015
KOI-117.03,Hot,rocky-iron,3.92,1.55,1.63,1499.4,3.18,0.04,Cyg,0,2015
KOI-117.04,Hot,rocky-iron,1.09,1.07,0.95,1108.6,7.96,0.08,Cyg,0,2015
KOI-118.01,Hot,rocky-iron,17.76,2.28,3.42,766.9,24.99,0.17,Lyr,0,2015
KOI-123.01,Hot,rocky-iron,18.10,2.29,3.45,1197.3,6.48,0.07,Lyr,0,2015
KOI-123.02,Hot,rocky-iron,26.93,2.50,4.31,824.4,21.22,0.15,Lyr,0,2015
KOI-137.03,Hot,rocky-iron,12.80,2.11,2.88,1210.6,3.50,0.04,Cyg,0,2015
KOI-139.02,Hot,rocky-iron,6.14,1.75,2.01,1353.0,3.34,0.05,Cyg,0,2015
KOI-148.01,Hot,rocky-iron,8.24,1.89,2.31,965.5,4.78,0.05,Cyg,0,2015
KOI-148.03,Hot,rocky-iron,10.72,2.02,2.63,488.5,42.90,0.24,Cyg,0,2015
KOI-152.04,Hot,rocky-iron,16.14,2.23,3.25,514.7,81.06,0.38,Cyg,0,2015
KOI-153.02,Hot,rocky-iron,8.41,1.90,2.33,813.2,4.75,0.05,Cyg,0,2015
KOI-156.01,Hot,rocky-iron,2.00,1.28,1.22,543.7,8.04,0.06,Cyg,0,2015
KOI-156.02,Hot,rocky-iron,0.87,1.00,0.87,619.4,5.19,0.05,Cyg,0,2015
KOI-156.03,Hot,rocky-iron,11.38,2.05,2.71,492.2,11.78,0.08,Cyg,0,2015
KOI-157.06,Hot,rocky-iron,7.59,1.85,2.22,892.4,10.30,0.09,Cyg,0,2015
KOI-159.01,Hot,rocky-iron,18.80,2.31,3.52,987.3,8.99,0.08,Cyg,0,2015
KOI-159.02,Hot,rocky-iron,0.84,0.99,0.86,1491.1,2.40,0.04,Cyg,0,2015
KOI-163.01,Hot,rocky-iron,7.43,1.84,2.20,679.2,11.12,0.09,Lyr,0,2015
KOI-166.01,Hot,rocky-iron,10.51,2.01,2.60,686.9,12.49,0.10,Lyr,0,2015
KOI-167.01,Hot,rocky-iron,23.60,2.43,4.00,1313.2,4.92,0.06,Cyg,0,2015
KOI-168.02,Hot,rocky-iron,17.76,2.28,3.42,957.8,15.27,0.12,Cyg,0,2015
KOI-168.03,Hot,rocky-iron,8.95,1.93,2.40,1218.1,7.11,0.07,Cyg,0,2015
KOI-171.02,Hot,rocky-iron,7.59,1.85,2.22,955.3,13.07,0.12,Cyg,0,2015
KOI-172.01,Hot,rocky-iron,17.76,2.28,3.42,793.6,13.72,0.10,Cyg,0,2015
KOI-172.02,Warm,rocky-iron,6.01,1.74,1.98,328.6,242.47,0.71,Cyg,1,2015
KOI-174.01,Hot,rocky-iron,15.24,2.20,3.15,380.0,56.35,0.25,Cyg,0,2015
KOI-176.01,Hot,rocky-iron,20.29,2.35,3.67,727.9,30.23,0.20,Lyr,0,2015
KOI-177.01,Hot,rocky-iron,9.13,1.94,2.43,729.3,21.06,0.15,Cyg,0,2015
KOI-180.01,Hot,rocky-iron,17.76,2.28,3.42,830.2,10.05,0.09,Lyr,0,2015
KOI-191.03,Hot,rocky-iron,1.84,1.25,1.18,1950.4,0.71,0.01,Cyg,0,2015
KOI-216.02,Hot,rocky-iron,5.16,1.67,1.85,901.7,7.52,0.07,Cyg,0,2015
KOI-220.02,Hot,rocky-iron,0.61,0.90,0.76,1047.5,4.13,0.05,Cyg,0,2015
KOI-221.02,Hot,rocky-iron,0.42,0.80,0.65,851.5,5.90,0.06,Lyr,0,2015
KOI-222.01,Hot,rocky-iron,11.61,2.06,2.73,621.4,6.31,0.06,Lyr,0,2015
KOI-222.02,Hot,rocky-iron,4.82,1.64,1.79,496.1,12.79,0.09,Lyr,0,2015
KOI-223.01,Hot,rocky-iron,25.45,2.47,4.17,1057.8,3.18,0.04,Lyr,0,2015
KOI-226.01,Hot,rocky-iron,9.70,1.97,2.50,744.5,8.31,0.07,Lyr,0,2015
KOI-227.01,Hot,rocky-iron,24.51,2.45,4.08,399.7,17.66,0.10,Lyr,0,2015
KOI-232.02,Hot,rocky-iron,7.43,1.84,2.20,1082.8,5.77,0.06,Lyr,0,2015
KOI-232.03,Hot,rocky-iron,3.66,1.52,1.58,709.3,21.59,0.15,Lyr,0,2015
KOI-232.04,Hot,rocky-iron,8.95,1.93,2.40,598.8,38.00,0.22,Lyr,0,2015
KOI-232.05,Hot,rocky-iron,6.98,1.81,2.13,529.6,56.26,0.29,Lyr,0,2015
KOI-235.01,Hot,rocky-iron,12.55,2.10,2.85,886.9,5.63,0.06,Cyg,0,2015
KOI-238.02,Hot,rocky-iron,2.16,1.31,1.26,706.3,26.70,0.18,Cyg,0,2015
KOI-239.02,Hot,rocky-iron,3.09,1.45,1.47,1295.0,3.62,0.05,Cyg,0,2015
KOI-241.01,Hot,rocky-iron,15.24,2.20,3.15,630.9,13.82,0.10,Dra,0,2015
KOI-241.02,Hot,rocky-iron,1.89,1.26,1.19,482.6,30.95,0.17,Dra,0,2015
KOI-241.03,Hot,rocky-iron,0.42,0.80,0.65,960.3,3.41,0.04,Dra,0,2015
KOI-245.01,Hot,rocky-iron,8.07,1.88,2.28,499.5,39.79,0.21,Lyr,0,2015
KOI-245.02,Hot,rocky-iron,0.29,0.71,0.57,588.9,21.30,0.14,Lyr,0,2015
KOI-246.01,Hot,rocky-iron,18.10,2.29,3.45,1193.7,5.40,0.06,Cyg,0,2015
KOI-246.02,Hot,rocky-iron,0.66,0.92,0.78,977.1,9.61,0.09,Cyg,0,2015
KOI-247.01,Hot,rocky-iron,10.10,1.99,2.55,429.6,13.82,0.09,Dra,0,2015
KOI-248.01,Hot,rocky-iron,16.14,2.23,3.25,540.1,7.20,0.06,Cyg,0,2015
KOI-248.03,Hot,rocky-iron,3.83,1.54,1.62,733.7,2.58,0.03,Cyg,0,2015
KOI-248.04,Hot,rocky-iron,2.11,1.30,1.25,396.2,18.60,0.11,Cyg,0,2015
KOI-249.01,Hot,rocky-iron,7.13,1.82,2.15,415.4,9.55,0.06,Lyr,0,2015
KOI-250.03,Hot,rocky-iron,1.74,1.23,1.15,682.1,3.54,0.04,Lyr,0,2015
KOI-250.04,Warm,rocky-iron,12.80,2.11,2.88,319.5,46.83,0.21,Lyr,1,2015
KOI-251.02,Hot,rocky-iron,0.51,0.85,0.71,565.2,5.77,0.05,Cyg,0,2015
KOI-253.02,Hot,rocky-iron,2.73,1.40,1.39,392.3,20.62,0.12,Dra,0,2015
KOI-255.02,Hot,rocky-iron,0.25,0.68,0.54,422.1,13.60,0.09,Lyr,0,2015
KOI-260.01,Hot,rocky-iron,3.83,1.54,1.62,1056.8,10.50,0.10,Cyg,0,2015
KOI-260.02,Hot,rocky-iron,25.45,2.47,4.17,529.2,100.28,0.45,Cyg,0,2015
KOI-260.03,Hot,rocky-iron,4.02,1.56,1.65,836.2,21.87,0.16,Cyg,0,2015
KOI-261.01,Hot,rocky-iron,17.43,2.27,3.38,729.4,16.24,0.13,Cyg,0,2015
KOI-262.01,Hot,rocky-iron,3.83,1.54,1.62,1237.6,7.81,0.08,Cyg,0,2015
KOI-262.02,Hot,rocky-iron,7.13,1.82,2.15,1169.9,9.38,0.09,Cyg,0,2015
KOI-265.01,Hot,rocky-iron,1.69,1.22,1.14,1380.9,3.57,0.05,Cyg,0,2015
KOI-266.01,Hot,rocky-iron,20.67,2.36,3.71,910.7,25.31,0.18,Cyg,0,2015
KOI-266.02,Hot,rocky-iron,7.13,1.82,2.15,740.6,47.74,0.28,Cyg,0,2015
KOI-269.01,Hot,rocky-iron,6.14,1.75,2.01,935.2,18.01,0.15,Lyr,0,2015
KOI-270.01,Hot,rocky-iron,4.11,1.57,1.67,962.6,12.58,0.10,Cyg,0,2015
KOI-270.02,Hot,rocky-iron,8.24,1.89,2.31,708.2,33.67,0.20,Cyg,0,2015
KOI-271.02,Hot,rocky-iron,23.16,2.42,3.95,751.2,29.39,0.20,Lyr,0,2015
KOI-271.03,Hot,rocky-iron,3.17,1.46,1.49,928.5,14.44,0.12,Lyr,0,2015
KOI-273.01,Hot,rocky-iron,7.75,1.86,2.24,890.9,10.57,0.10,Lyr,0,2015
KOI-274.01,Hot,rocky-iron,2.94,1.43,1.44,1009.0,15.09,0.13,Lyr,0,2015
KOI-274.02,Hot,rocky-iron,2.87,1.42,1.42,883.9,22.80,0.17,Lyr,0,2015
KOI-275.01,Hot,rocky-iron,18.45,2.30,3.49,950.4,15.79,0.13,Dra,0,2015
KOI-275.02,Hot,rocky-iron,22.30,2.40,3.87,569.9,82.20,0.39,Dra,0,2015
KOI-276.01,Hot,rocky-iron,23.16,2.42,3.95,634.2,41.75,0.24,Cyg,0,2015
KOI-277.02,Hot,rocky-iron,3.32,1.48,1.52,1017.2,13.85,0.12,Cyg,0,2015
KOI-279.02,Hot,rocky-iron,26.43,2.49,4.26,991.1,15.41,0.13,Cyg,0,2015
KOI-280.01,Hot,rocky-iron,9.13,1.94,2.43,904.7,11.87,0.10,Lyr,0,2015
KOI-282.02,Hot,rocky-iron,0.96,1.03,0.90,1010.1,8.46,0.08,Lyr,0,2015
KOI-282.03,Hot,rocky-iron,2.53,1.37,1.35,486.2,87.52,0.38,Lyr,0,2015
KOI-283.01,Hot,rocky-iron,9.90,1.98,2.52,744.2,16.09,0.13,Lyr,0,2015
KOI-283.02,Hot,rocky-iron,0.37,0.77,0.62,628.7,25.52,0.17,Lyr,0,2015
KOI-283.03,Hot,rocky-iron,0.31,0.73,0.59,883.4,9.49,0.09,Lyr,0,2015
KOI-284.01,Hot,rocky-iron,2.80,1.41,1.41,776.3,18.01,0.13,Lyr,0,2015
KOI-284.02,Hot,rocky-iron,1.79,1.24,1.16,1077.4,6.41,0.07,Lyr,0,2015
KOI-284.03,Hot,rocky-iron,0.99,1.04,0.91,1087.5,6.18,0.06,Lyr,0,2015
KOI-284.04,Hot,rocky-iron,1.35,1.14,1.04,438.2,110.29,0.44,Lyr,0,2015
KOI-285.02,Hot,rocky-iron,21.07,2.37,3.75,832.3,26.72,0.19,Lyr,0,2015
KOI-285.03,Hot,rocky-iron,10.10,1.99,2.55,683.3,49.36,0.28,Lyr,0,2015
KOI-291.02,Hot,rocky-iron,7.91,1.87,2.26,1115.9,8.13,0.08,Cyg,0,2015
KOI-292.01,Hot,rocky-iron,4.40,1.60,1.72,1371.4,2.59,0.04,Cyg,0,2015
KOI-294.01,Hot,rocky-iron,9.90,1.98,2.52,629.5,34.44,0.20,Cyg,0,2015
KOI-295.02,Hot,rocky-iron,4.72,1.63,1.77,1094.9,10.11,0.10,Dra,0,2015
KOI-296.01,Hot,rocky-iron,14.95,2.19,3.12,685.6,28.86,0.18,Dra,0,2015
KOI-297.01,Hot,rocky-iron,3.41,1.49,1.53,1271.8,5.65,0.06,Dra,0,2015
KOI-298.01,Hot,rocky-iron,6.14,1.75,2.01,713.3,19.96,0.14,Cyg,0,2015
KOI-298.02,Hot,rocky-iron,5.27,1.68,1.87,513.4,57.38,0.29,Cyg,0,2015
KOI-299.01,Hot,rocky-iron,7.13,1.82,2.15,1479.4,1.54,0.03,Lyr,0,2015
KOI-301.01,Hot,rocky-iron,5.75,1.72,1.95,1224.5,6.00,0.07,Lyr,0,2015
KOI-301.02,Hot,rocky-iron,1.09,1.07,0.95,987.8,11.45,0.11,Lyr,0,2015
KOI-304.02,Hot,rocky-iron,1.02,1.05,0.93,1479.3,5.52,0.06,Lyr,0,2015
KOI-305.01,Hot,rocky-iron,8.07,1.88,2.28,864.9,4.60,0.05,Cyg,0,2015
KOI-306.01,Hot,rocky-iron,12.80,2.11,2.88,581.2,24.31,0.16,Cyg,0,2015
KOI-307.01,Hot,rocky-iron,4.11,1.57,1.67,749.1,19.67,0.15,Cyg,0,2015
KOI-307.02,Hot,rocky-iron,1.02,1.05,0.93,1137.5,5.21,0.06,Cyg,0,2015
KOI-312.01,Hot,rocky-iron,9.70,1.97,2.50,956.0,11.58,0.11,Cyg,0,2015
KOI-312.02,Hot,rocky-iron,6.83,1.80,2.11,854.4,16.40,0.13,Cyg,0,2015
KOI-313.01,Hot,rocky-iron,13.84,2.15,2.99,626.2,18.74,0.13,Lyr,0,2015
KOI-313.02,Hot,rocky-iron,5.04,1.66,1.83,797.2,8.44,0.08,Lyr,0,2015
KOI-314.01,Hot,rocky-iron,2.28,1.33,1.29,435.5,13.78,0.09,Lyr,0,2015
KOI-314.02,Hot,rocky-iron,3.66,1.52,1.58,374.8,23.09,0.13,Lyr,0,2015
KOI-314.03,Hot,rocky-iron,0.15,0.58,0.45,463.2,10.31,0.07,Lyr,0,2015
KOI-315.01,Hot,rocky-iron,18.45,2.30,3.49,450.8,35.58,0.19,Cyg,0,2015
KOI-316.03,Hot,rocky-iron,9.32,1.95,2.45,1036.4,7.31,0.07,Lyr,0,2015
KOI-321.01,Hot,rocky-iron,2.22,1.32,1.28,1343.2,2.43,0.04,Cyg,0,2015
KOI-321.02,Hot,rocky-iron,0.35,0.76,0.61,1081.4,4.62,0.06,Cyg,0,2015
KOI-323.01,Hot,rocky-iron,8.95,1.93,2.40,935.6,5.84,0.06,Lyr,0,2015
KOI-327.01,Hot,rocky-iron,2.40,1.35,1.32,1359.9,3.25,0.04,Lyr,0,2015
KOI-327.02,Hot,rocky-iron,3.83,1.54,1.62,474.9,91.35,0.42,Lyr,0,2015
KOI-330.01,Hot,rocky-iron,14.11,2.16,3.02,1108.1,7.97,0.08,Cyg,0,2015
KOI-330.02,Hot,rocky-iron,0.96,1.03,0.90,1749.9,1.89,0.03,Cyg,0,2015
KOI-332.01,Hot,rocky-iron,14.66,2.18,3.09,1171.9,5.46,0.06,Cyg,0,2015
KOI-332.02,Hot,rocky-iron,0.44,0.81,0.66,1072.0,6.87,0.07,Cyg,0,2015
KOI-333.01,Hot,rocky-iron,14.66,2.18,3.09,939.9,13.29,0.11,Cyg,0,2015
KOI-337.01,Hot,rocky-iron,7.13,1.82,2.15,717.5,19.78,0.14,Cyg,0,2015
KOI-339.01,Hot,rocky-iron,3.49,1.50,1.55,1521.9,1.98,0.03,Dra,0,2015
KOI-339.02,Hot,rocky-iron,4.11,1.57,1.67,834.9,12.83,0.11,Dra,0,2015
KOI-339.03,Hot,rocky-iron,4.51,1.61,1.74,604.9,35.87,0.21,Dra,0,2015
KOI-341.02,Hot,rocky-iron,14.95,2.19,3.12,1076.9,4.70,0.05,Cyg,0,2015
KOI-343.02,Hot,rocky-iron,9.90,1.98,2.52,1654.0,2.02,0.03,Cyg,0,2015
KOI-343.03,Hot,rocky-iron,2.94,1.43,1.44,624.9,41.81,0.23,Cyg,0,2015
KOI-350.01,Hot,rocky-iron,14.11,2.16,3.02,885.4,12.99,0.11,Cyg,0,2015
KOI-352.01,Hot,rocky-iron,20.67,2.36,3.71,692.3,27.08,0.18,Cyg,0,2015
KOI-352.02,Hot,rocky-iron,7.13,1.82,2.15,809.8,16.01,0.12,Cyg,0,2015
KOI-353.02,Hot,rocky-iron,21.47,2.38,3.79,819.3,30.65,0.21,Cyg,0,2015
KOI-354.01,Hot,rocky-iron,16.46,2.24,3.28,768.5,15.96,0.13,Cyg,0,2015
KOI-354.02,Hot,rocky-iron,1.05,1.06,0.94,965.7,7.38,0.08,Cyg,0,2015
KOI-355.01,Hot,rocky-iron,11.38,2.05,2.71,1214.3,4.90,0.06,Cyg,0,2015
KOI-361.01,Hot,rocky-iron,2.34,1.34,1.30,1213.4,3.25,0.04,Cyg,0,2015
KOI-365.01,Hot,rocky-iron,13.31,2.13,2.93,427.1,81.74,0.35,Cyg,0,2015
KOI-369.01,Hot,rocky-iron,1.19,1.10,0.99,1139.6,5.89,0.07,Lyr,0,2015
KOI-369.02,Hot,rocky-iron,1.19,1.10,0.99,957.3,10.10,0.09,Lyr,0,2015
KOI-370.02,Hot,rocky-iron,15.24,2.20,3.15,932.6,22.95,0.17,Cyg,0,2015
KOI-373.01,Hot,rocky-iron,26.93,2.50,4.31,413.6,135.19,0.48,Cyg,0,2015
KOI-379.02,Hot,rocky-iron,9.70,1.97,2.50,927.0,23.14,0.17,Lyr,0,2015
KOI-384.01,Hot,rocky-iron,8.77,1.92,2.38,1256.1,5.08,0.06,Cyg,0,2015
KOI-385.01,Hot,rocky-iron,6.83,1.80,2.11,809.6,13.14,0.11,Cyg,0,2015
KOI-387.01,Hot,rocky-iron,23.60,2.43,4.00,570.1,13.90,0.10,Lyr,0,2015
KOI-392.02,Hot,rocky-iron,2.05,1.29,1.23,935.8,12.61,0.11,Lyr,0,2015
KOI-393.01,Hot,rocky-iron,10.72,2.02,2.63,788.3,21.42,0.16,Cyg,0,2015
KOI-398.03,Hot,rocky-iron,7.91,1.87,2.26,1333.7,1.73,0.03,Cyg,0,2015
KOI-401.03,Hot,rocky-iron,5.04,1.66,1.83,470.0,55.33,0.27,Lyr,0,2015
KOI-408.04,Hot,rocky-iron,2.34,1.34,1.30,1226.5,3.43,0.04,Lyr,0,2015
KOI-409.01,Hot,rocky-iron,25.45,2.47,4.17,817.0,13.25,0.11,Lyr,0,2015
KOI-413.02,Hot,rocky-iron,12.31,2.09,2.82,592.8,24.67,0.16,Cyg,0,2015
KOI-416.03,Hot,rocky-iron,0.35,0.76,0.61,726.2,9.75,0.08,Lyr,0,2015
KOI-416.04,Hot,rocky-iron,0.33,0.74,0.60,488.8,31.53,0.18,Lyr,0,2015
KOI-430.01,Hot,rocky-iron,12.80,2.11,2.88,447.2,12.38,0.08,Dra,0,2015
KOI-430.02,Hot,rocky-iron,0.29,0.71,0.57,468.0,9.34,0.07,Dra,0,2015
KOI-431.02,Hot,rocky-iron,26.93,2.50,4.31,508.7,46.90,0.23,Dra,0,2015
KOI-435.03,Hot,rocky-iron,9.70,1.97,2.50,584.5,33.04,0.20,Cyg,0,2015
KOI-435.04,Hot,rocky-iron,2.05,1.29,1.23,1133.6,3.93,0.05,Cyg,0,2015
KOI-435.06,Hot,rocky-iron,1.89,1.26,1.19,842.3,9.92,0.09,Cyg,0,2015
KOI-438.01,Hot,rocky-iron,9.32,1.95,2.45,605.9,5.93,0.05,Cyg,0,2015
KOI-438.02,Warm,rocky-iron,6.27,1.76,2.03,313.6,52.66,0.23,Cyg,1,2015
KOI-442.01,Hot,rocky-iron,19.53,2.33,3.60,810.7,13.54,0.11,Lyr,0,2015
KOI-442.02,Hot,rocky-iron,1.94,1.27,1.21,1548.1,1.73,0.03,Lyr,0,2015
KOI-442.03,Hot,rocky-iron,2.22,1.32,1.28,985.6,7.03,0.07,Lyr,0,2015
KOI-443.01,Hot,rocky-iron,15.84,2.22,3.21,710.3,16.22,0.12,Lyr,0,2015
KOI-444.01,Hot,rocky-iron,13.31,2.13,2.93,842.9,11.72,0.10,Lyr,0,2015
KOI-446.02,Hot,rocky-iron,8.41,1.90,2.33,461.8,28.55,0.16,Lyr,0,2015
KOI-448.01,Hot,rocky-iron,7.91,1.87,2.26,490.6,10.14,0.07,Cyg,0,2015
KOI-452.01,Hot,rocky-iron,22.30,2.40,3.87,1330.3,3.71,0.05,Cyg,0,2015
KOI-454.01,Hot,rocky-iron,19.91,2.34,3.64,545.2,29.01,0.18,Lyr,0,2015
KOI-456.02,Hot,rocky-iron,6.55,1.78,2.07,1120.2,4.31,0.05,Lyr,0,2015
KOI-457.01,Hot,rocky-iron,11.84,2.07,2.76,883.6,4.92,0.05,Lyr,0,2015
KOI-457.02,Hot,rocky-iron,9.51,1.96,2.47,787.3,7.06,0.07,Lyr,0,2015
KOI-459.02,Hot,rocky-iron,2.00,1.28,1.22,997.1,6.92,0.07,Cyg,0,2015
KOI-460.02,Hot,rocky-iron,1.79,1.24,1.16,602.1,36.05,0.21,Cyg,0,2015
KOI-463.01,Warm,rocky-iron,4.11,1.57,1.67,310.6,18.48,0.09,Cyg,1,2015
KOI-471.01,Hot,rocky-iron,16.14,2.23,3.25,670.0,21.35,0.15,Cyg,0,2015
KOI-471.02,Hot,rocky-iron,1.02,1.05,0.93,903.6,7.81,0.08,Cyg,0,2015
KOI-474.02,Hot,rocky-iron,24.97,2.46,4.13,736.4,28.99,0.19,Lyr,0,2015
KOI-474.04,Hot,rocky-iron,3.09,1.45,1.47,1269.7,5.04,0.06,Lyr,0,2015
KOI-475.01,Hot,rocky-iron,24.97,2.46,4.13,795.7,8.18,0.07,Dra,0,2015
KOI-475.02,Hot,rocky-iron,16.46,2.24,3.28,652.5,15.31,0.11,Dra,0,2015
KOI-476.01,Hot,rocky-iron,12.07,2.08,2.79,613.9,18.43,0.12,Cyg,0,2015
KOI-477.01,Hot,rocky-iron,23.16,2.42,3.95,660.3,16.54,0.12,Cyg,0,2015
KOI-478.01,Hot,rocky-iron,12.80,2.11,2.88,464.2,11.02,0.08,Cyg,0,2015
KOI-480.01,Hot,rocky-iron,20.67,2.36,3.71,1056.9,4.30,0.05,Cyg,0,2015
KOI-481.01,Hot,rocky-iron,21.88,2.39,3.83,829.0,7.65,0.07,Cyg,0,2015
KOI-481.02,Hot,rocky-iron,4.21,1.58,1.69,1366.2,1.55,0.02,Cyg,0,2015
KOI-481.03,Hot,rocky-iron,26.43,2.49,4.26,523.5,34.26,0.19,Cyg,0,2015
KOI-483.01,Hot,rocky-iron,26.43,2.49,4.26,1029.6,4.80,0.05,Dra,0,2015
KOI-484.01,Hot,rocky-iron,18.10,2.29,3.45,601.4,17.21,0.12,Cyg,0,2015
KOI-486.01,Hot,rocky-iron,11.61,2.06,2.73,628.5,22.18,0.14,Cyg,0,2015
KOI-487.01,Hot,rocky-iron,16.77,2.25,3.31,905.5,7.66,0.07,Cyg,0,2015
KOI-488.01,Hot,rocky-iron,10.94,2.03,2.65,847.9,9.38,0.08,Lyr,0,2015
KOI-490.01,Hot,rocky-iron,5.63,1.71,1.93,940.6,4.39,0.05,Cyg,0,2015
KOI-490.03,Hot,rocky-iron,6.27,1.76,2.03,797.4,7.41,0.07,Cyg,0,2015
KOI-490.04,Hot,rocky-iron,2.66,1.39,1.38,565.1,21.80,0.14,Cyg,0,2015
KOI-494.01,Hot,rocky-iron,5.27,1.68,1.87,356.2,25.70,0.14,Cyg,0,2015
KOI-497.02,Hot,rocky-iron,3.83,1.54,1.62,1291.2,4.43,0.05,Cyg,0,2015
KOI-499.01,Hot,rocky-iron,5.51,1.70,1.91,771.3,9.67,0.09,Cyg,0,2015
KOI-500.01,Hot,rocky-iron,15.54,2.21,3.18,594.5,7.05,0.06,Cyg,0,2015
KOI-500.02,Hot,rocky-iron,17.43,2.27,3.38,543.0,9.52,0.07,Cyg,0,2015
KOI-500.03,Hot,rocky-iron,2.34,1.34,1.30,759.5,3.07,0.03,Cyg,0,2015
KOI-500.04,Hot,rocky-iron,2.53,1.37,1.35,667.0,4.65,0.05,Cyg,0,2015
KOI-500.05,Hot,rocky-iron,0.87,1.00,0.87,1086.2,0.99,0.02,Cyg,0,2015
KOI-501.01,Hot,rocky-iron,17.43,2.27,3.38,645.7,24.80,0.16,Cyg,0,2015
KOI-503.01,Hot,rocky-iron,17.76,2.28,3.42,560.2,8.22,0.07,Lyr,0,2015
KOI-504.01,Hot,rocky-iron,14.11,2.16,3.02,521.7,40.61,0.22,Cyg,0,2015
KOI-505.02,Hot,rocky-iron,3.24,1.47,1.50,922.5,6.20,0.06,Lyr,0,2015
KOI-505.03,Hot,rocky-iron,2.11,1.30,1.25,1132.6,3.25,0.04,Lyr,0,2015
KOI-505.04,Hot,rocky-iron,8.59,1.91,2.35,844.3,8.35,0.08,Lyr,0,2015
KOI-509.01,Hot,rocky-iron,24.05,2.44,4.04,1073.0,4.17,0.05,Cyg,0,2015
KOI-509.03,Hot,rocky-iron,7.43,1.84,2.20,526.5,39.60,0.22,Cyg,0,2015
KOI-510.01,Hot,rocky-iron,15.54,2.21,3.18,1299.8,2.94,0.04,Lyr,0,2015
KOI-510.02,Hot,rocky-iron,20.29,2.35,3.67,1016.2,6.39,0.07,Lyr,0,2015
KOI-510.03,Hot,rocky-iron,15.54,2.21,3.18,781.5,14.63,0.11,Lyr,0,2015
KOI-510.04,Hot,rocky-iron,22.72,2.41,3.91,597.7,35.12,0.20,Lyr,0,2015
KOI-511.01,Hot,rocky-iron,22.72,2.41,3.91,1004.6,8.01,0.07,Cyg,0,2015
KOI-511.02,Hot,rocky-iron,2.00,1.28,1.22,1215.5,4.26,0.05,Cyg,0,2015
KOI-518.01,Hot,rocky-iron,8.07,1.88,2.28,550.3,13.98,0.10,Lyr,0,2015
KOI-518.02,Hot,rocky-iron,3.17,1.46,1.49,384.7,44.00,0.20,Lyr,0,2015
